Researcher Name,Content Code,Include in Output?,Source_url,Publication_date (DD-MM-YYYY),Publication_time (hh:mm) (local time),"Content Warning (if potentially distressing imagery, briefly summarize)",Verification_status,Verifier Name,Potential unlawful use of force,Event_date (DD-MM-YYYY),Event_time (hh:mm) (local time),Geolocation_possible,Latitude,Longitude,Notes,Equipment(1)_timecode,Equipment(1)_type,Equipment(1)_manufacturer,Equipment(1)_model,Screenshots,Equipment(2)_timecode,Equipment(2)_type,Equipment(2)_manufacturer,Equipment(2)_model,Screenshots,Equipment(3)_timecode,Equipment(3)_type,Equipment(3)_manufacturer,Equipment(3)_model,Screenshots,Equipment(4)_timecode,Equipment(4)_type,Equipment(4)_manufacturer,Equipment(4)_model,Screenshots,Equipment(5)_timecode,Equipment(5)_type,Equipment(5)_manufacturer,Equipment(5)_model,Screenshots,Equipment(6)_timecode,Equipment(6)_type,Equipment(6)_manufacturer,Equipment(6)_model,Screenshots,Equipment(7)_timecode,Equipment(7)_type,Equipment(7)_manufacturer,Equipment(7)_model,Screenshots
Avani Yadav,LB001,No,https://twitter.com/Cropperboyce/status/1218667511882960898,18-01-2020,00:54: ,No,Verified,Meher,FALSE,18-01-2020,,Yes,33.8975166,35.5070763,"Posted by Twitter user, image from Reuters! Could reverse image search to find original source. [Update: Found the original video: https://www.cbc.ca/player/play/1678300227728]",,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/drive/u/1/folders/1WDEONoaeYDPZKFngSKZdHLP9I1OiEMXL,0:30,Vehicle,IVECO,VM 90,https://drive.google.com/drive/u/1/folders/1WDEONoaeYDPZKFngSKZdHLP9I1OiEMXL,,,,,,,,,,,,,,,,,,,,,,,,,
Maeve,LB002,No,https://www.youtube.com/watch?v=vuJGEezGFzw&feature=youtu.be,08-08-2020,23:40: ,No,Verified,Maeve,FALSE,08-08-2020,,Yes,33.897800,35.506168 ,Image of armored vehicle at 0:30,0:30,Vehicle,IVECO,VM 90,https://drive.google.com/file/d/1Z3KvRM48Wf2c0O-Niteo-K5cxuA4urrl/view?usp=sharing,,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,"https://drive.google.com/file/d/1Z3KvRM48Wf2c0O-Niteo-K5cxuA4urrl/view?usp=sharing, https://drive.google.com/file/d/1UByFdIXv3WpmoEd1a8YFxu-oh6Si6Lnj/view?usp=sharing",,,,,,,,,,,,,,,,,,,,,,,,,
Maeve,LB003,No,https://twitter.com/Lastkombo/status/1292545758021984257,08-09-2020,22:38: ,No,Verified,Meher ,FALSE,08-09-2020,,Yes,33.8983311,35.5037586,Barriers,,,,,https://drive.google.com/file/d/1FjLgGdZPXQIkgKDiyXkYhh4ISeMMBGC0/view?usp=sharing,,,,,https://drive.google.com/file/d/1FjLgGdZPXQIkgKDiyXkYhh4ISeMMBGC0/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Mitch,LB004,Maybe (many weapons shown so could use clips),https://www.youtube.com/watch?v=dOolflLxr0s,01-09-2020,,No,Verified,Mackenzie,FALSE,01-09-2020,,Yes,33.8975166,35.5070763,,0:00,Vehicle,IVECO,VBTP-MR Guarani 6x6,https://drive.google.com/file/d/1HqyTVOsICW7VYORbPNxGtksS4WQ_tou2/view?usp=sharing,0:04,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/1aXsWfRoPst0oSF0Ug4Qk0J0RusYAYQZD/view?usp=sharing,9:15,Launcher,SAE Alsetex,Cougar Multilight 56mm,https://drive.google.com/file/d/1FiuMUf0hekame8NmHsNn-i0TbicN8p7u/view?usp=sharing,11:17,Munition,SAE Alsetex,CM4/CM6,https://drive.google.com/file/d/1gwJY0mTmSJUeKTn-cHMC6JrSut9plOb6/view?usp=sharing,15:15,Vehicle,Other,Water Cannon,https://drive.google.com/file/d/1BfzaaqohcA6h0WsyEWBvQfNLrsQ-PX5W/view?usp=sharing,,,,,,,,,,
Maeve,LB005_1,No,https://www.youtube.com/watch?v=j6n-cjF9rIg&has_verified=1,16-01-2020,11:00: ,"Can see tear gas being fired directly at protestors, but nothing too graphic",Verified,Maeve,TRUE,15-01-2020,,Yes,"33.879776
","35.493568
","Posted by Manilla Bulletin, not sure on relationship between the Philippines and Lebanon, but reverse image search didn't yield anything",0:29,Launcher,SAE Alsetex,Cougar 56mm,https://drive.google.com/file/d/1mXGncM6voy6JWLOHtd4wGNhUFpXsxlE1/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LB005_2,No,https://www.youtube.com/watch?v=j6n-cjF9rIg&has_verified=1,16-01-2020,11:00: ,,Verified,,FALSE,15-01-2020,,,33.87920543080355,35.495532827150434,,0:52,Launcher,SAE Alsetex,Chouka 56mm,https://drive.google.com/file/d/13x7oVqMfCvaLgEnFKyDJuHcjxz5IaoQ4/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LB005_3,No,https://www.youtube.com/watch?v=j6n-cjF9rIg&has_verified=1,16-01-2020,11:00: ,,Verified,,FALSE,15-01-2020,,,33.878763,35.497317,,1:07,Vehicle,Arquus,VAB 4x4 APC,https://drive.google.com/file/d/1qsSllZLfLrkKqw-Bl0jJp1A63HQm1Zfu/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LB005_4,No,https://www.youtube.com/watch?v=j6n-cjF9rIg&has_verified=1,16-01-2020,11:00: ,,Verified,,FALSE,15-01-2020,,,33.881238,35.489170,,1:45,Launcher,SAE Alsetex,Cougar Multilight 56mm,https://drive.google.com/file/d/1sLYsiYLDAb6Xd7HPSYV0BOep88lqM749/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avani,LB006,No,https://twitter.com/arabnews/status/1292888203050004481/photo/3,10-08-2020,21:19:00 PM,No,Verified,Karina ,FALSE,10-08-2020,,Yes,33.898148,35.504790,On the ground (elements in white) :  100 propulsion delay devices or in french DPR 100 (see on this link http://titus2h.e-monsite.com/pages/maintien-de-l-ordre/55-gamme-lacroix-alseltex.html). These products are produced by Nobel Sport Security and SAE Alsetex for their respective grenades.,,Launcher,SAE Alsetex,Cougar 56mm,https://drive.google.com/file/d/1PTAC8CexcqJgY8HF68UlILQrsKhUzckg/view?usp=sharing,,Munition,Unknown,"DPR (50m,100m, or 200m)",,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy,LB007,Maybe,https://www.youtube.com/watch?v=ew_r1b9EVCs,10-08-2020,20:54:00 PM,No,Verified,Francesca ,FALSE,10-08-2020,,Yes,,,"I think they are tear gas grenades Nobel Sport with a DPR. In the case of the Nobel sport grenades, the red marking is at bottom of the grenade juste before the DPR. In the case of SAE grenades, the red marking is at the middle of the grenades and is wider. See for example this graphic : https://twitter.com/MaximeReynie/status/1082633711114424320 ","50:51, 52:00",Vehicle,IVECO,VM 90,https://drive.google.com/file/d/1q7AjERRjeKrHE78p5Y2bwdpf765uyVUv/view?usp=sharing,52:03:00,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/1W7UxXPn0ZdZnvjKTXHuA_LsJs8KfK2Cn/view?usp=sharing,55:52:00,Munition,Nobel Securite,PLMP,https://drive.google.com/file/d/1bohWx_qaT8mQ1gE_4jibRknEMiV-PPu8/view?usp=sharing,,,,,,,,,,,,,,,,,,,,
Avani,LB008,No,https://twitter.com/hasanshaaban/status/1227965943156006918/photo/1,13-02-2020,16:41:00 PM,No,Verified,Wendy,FALSE,,,Yes,33.8967767,35.5032599,Geolocation: Roula Abdo's mural near Parliament building,,Launcher,SAE Alsetex,Cougar 56mm,https://drive.google.com/file/d/1mxq9TOwknZUfsR02o3Uh8qPNyA_Led5n/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie,LB009,No,https://www.youtube.com/watch?v=yHP29Cfq4Qo,20-12-2019,,"Can tear tear gas fired at protesters, lots of noise ",Verified,Danielle,FALSE,15-12-2019,,Yes,33.898162,35.504718,"Posted by AP Archive, vehicle matches water cannon from Weapons Guide ",2:46,Vehicle,Other,Water Cannon,https://drive.google.com/file/d/1qdX5IVXpyZDgUVi47oqNDJbie3BX987w/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie,LB010,Maybe (clip at 0:18),https://www.youtube.com/watch?v=1o2yNPaO5G4,15-12-2019,,No,Verified,Yaas,TRUE,15-12-2019,,Yes,33.898139,35.504827,"Second footage of use of water cannons on protesters, seen firing on protesters at 0:25 ",0:18,Vehicle,Other,Water Cannon,"https://drive.google.com/file/d/1NYzTudsG6zyNTPA7bCIYYM20H5tqtd_j/view?usp=sharing, https://drive.google.com/file/d/1wHioSbAYCQEUHrFeziEd-4DKjjvd4Tpg/view?usp=sharing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie,LB011,No,https://www.youtube.com/watch?v=qwyoSjLpe7o,15-12-2019,,Tear gas fired at protesters,Verified,Katya,TRUE,15-12-2019,,Yes,33.892593,35.504763,,0:41,Launcher,SAE Alsetex,Chouka 56mm,https://drive.google.com/file/d/1kZZmDH7E9jXdPEPZU7HEajk6Hz7gb2MG/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie,LB012,No,https://www.youtube.com/watch?v=oWSx6v0W3dw,20-12-2019,,No,Verified,,FALSE,15-12-2019,,Yes,33.8975871,35.5086029,vehicle is listed as second equipment but they are both shown in the screenshot ,0:45,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/1Zt2Buevq3ysHoyPbjMd4r0ucneWZ2nVC/view?usp=sharing,same,Vehicle,IVECO,VM 90,https://drive.google.com/file/d/1Zt2Buevq3ysHoyPbjMd4r0ucneWZ2nVC/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie,LB013_1,No,https://www.youtube.com/watch?v=hyxbyUwO98c,14-12-2019,,some arguable excessive force ,Verified,Maeve,FALSE,14-12-2019,,Yes,"33.897464
","35.507131
",could be 56mm cougar or mulitlight - poorly lit ,0:22,Launcher,SAE Alsetex,Cougar 56mm,https://drive.google.com/file/d/1bfLDoiTwx5DpjLTWOn-Dnelrqq6WNPJo/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LB013_2,No,https://www.youtube.com/watch?v=hyxbyUwO98c,14-12-2019,,,Verified,,FALSE,14-12-2019,,,33.897744,35.506301,,0:36,Launcher,SAE Alsetex,Cougar 56mm,https://drive.google.com/file/d/1t6I68lJpwyfx3bUTYM1ggvhfta42R7x_/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LB013_3,No,https://www.youtube.com/watch?v=hyxbyUwO98c,14-12-2019,,,Verified,,FALSE,14-12-2019,,,33.897443,35.507318,,0:57,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/1p1WQYU3AIrCM4MRJ1MwBCoAEnY0Sma4T/view?usp=sharing,0:57,Vehicle,IVECO,VM 90,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaas,LB015,No,https://twitter.com/i/status/1217928098227924994,16-01-2010,,Can see tear gas,Verified,Wendy,FALSE,16-01-2020,,Yes,33.8952781,35.4875538,Maybe aslo an IVECO vehicle (the last one).,0:07,Vehicle,Arquus,VAB 4x4 APC,https://drive.google.com/file/d/1HX4dBfaeBzucdG734xw2cPy386Um54aI/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielle,LB016,Maybe (canisters fired at small group of protestors from close range - not clear it is police firing),https://www.youtube.com/watch?v=9YSwMxb96BE,15-12-2019,03:58: ,No,Verified,Danielle,TRUE,15-12-2019,,Yes,33.898162,35.504718,Posted by VOA News,0:19,Vehicle,Unknown,Water Cannon,https://drive.google.com/file/d/1CRApYWBWSnlzk75XvCSyx1YL72FPeuas/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielle,LB017,No,https://www.youtube.com/watch?v=ACYr4r5GBIw,15-12-2019,13:29: ,No,Verified,Danielle,TRUE,14-12-2019,,Yes,33.897530,35.507195,Posted by Al Jazeera; both launcher and vehicle seen in this clip,0:20,Launcher,SAE Alsetex,Cougar 56mm,https://drive.google.com/file/d/1I_pH_YVOXWdiAA7XYAAJc-18m5J9xepE/view?usp=sharing,1:46,Vehicle,IVECO,VM 90,https://drive.google.com/file/d/1wFgJ7ULDZCjbSeYbjM3E43OH0FJOlubi/view?usp=sharing,,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,,,,,,,,,,,,,,,,,,,,,
Danielle,LB018,No,https://twitter.com/gnbasile/status/1206331323511648256,15-12-2019,23:52: ,No,Verified,Aliyah Behimino,TRUE,15-12-2019,,Yes,33.897513,35.507153,France 24 report; same frame shows a vehicle-mounted weapon and the vehicle itself; launcher at 0:04 could be either Cougar 56mm or Cougar Multilight 56,0:00,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/1FZpvp8L-Zjr0nFZeu1nj7oGHsleNgopM/view?usp=sharing,also 0:00,Vehicle,IVECO,VM 90,https://drive.google.com/file/d/1FZpvp8L-Zjr0nFZeu1nj7oGHsleNgopM/view?usp=sharing,0:14,Launcher,SAE Alsetex,Cougar 56mm,https://drive.google.com/file/d/16IWFJIPHiMN525mg80VscPgbQTvadT5Q/view?usp=sharing,,,,,,,,,,,,,,,,,,,,
Katya,LB019,Maybe (from 55:55:00 there are several shots fired from vehicle without any clear threat from protestors),https://www.youtube.com/watch?v=QRqlmQzAK18,18-01-2020,17:38:47 (UTC),"Some tear gas, and other violence against protestors",Verified,"Sophia, Nodoka, Aaliyah, Liberty",TRUE,18-01-2020,unclear,Yes,33.896192,35.502117,Posted by Global News. Evidence of many different weapons.  Has videos from different areas of protest together (splitscreen). Aymeric : Where are the chouka ?,16:53,Vehicle,IVECO,VBTP-MR Guarani 6x6,https://drive.google.com/file/d/19ID-ptx1YetXBTEtFQ7UwQAqaupqS1-Q/view?usp=sharing,17:03,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,https://drive.google.com/file/d/1DY6Qusg9Bdvv5lMT3yG8FDgcW3GQp_Mk/view?usp=sharing,33:00:00,Vehicle,Other,Water Cannon,https://drive.google.com/file/d/1XUpqTZ_Fe9OqweRGWMaAU54hYwdqoThs/view?usp=sharing,54:28:00,Launcher,SAE Alsetex,Cougar 56mm,https://drive.google.com/file/d/1tvQckfoUrEBagmOUZUEr2VsFLlM1KkYc/view?usp=sharing,55:55:00,Vehicle,IVECO,VM 90,https://drive.google.com/file/d/19zRFfaXJ4CRpIoZ46BBN7SQmxbUSQvsk/view?usp=sharing,,Launcher,SAE Alsetex,Chouka 56mm,https://drive.google.com/file/d/1lsI-cZt1k718vEKqsVleWSVRVsvmJh52/view?usp=sharing,,,,,
Katya,LB020,No,https://www.youtube.com/watch?v=eSfew-rzjQw,18-01-2020,17:09:13 (UTC),General use of force against protestors,Verified,Fannie,FALSE,18-01-2020,unclear,Yes,33.8981147,35.5046657,Posted by Global News. Water cannons/various equipment. ,0:24,Vehicle,Unknown,Water Cannon,https://drive.google.com/file/d/1ePShcfCcdpFfoW8NGM1iD5nxCMpzabFj/view?usp=sharing,5:05,Vehicle,IVECO,VM 90,,5:05,Vehicle-mounted weapon,SAE Alsetex,Land Cougar 12,,,,,,,,,,,,,,,,,,,,,
Katya,LB021,No,https://www.youtube.com/watch?v=0J2DBQ_ls0A,18-01-2020,01:27:29 (UTC),No,Verified,Mitch,FALSE,17-01-2020,unclear,Yes,33.895275,35.488670,Posted by VOA News. Vehicles.  Aymeric : I think they are Humvee. See on this link : a lot of pictures match : https://www.google.com/search?q=humvee+lebanese&tbm=isch&ved=2ahUKEwjEjpiP5c_tAhUQ0BoKHRmCCZcQ2-cCegQIABAA&oq=humvee+lebanese&gs_lcp=CgNpbWcQAzIGCAAQCBAeOgQIIxAnUKTWCljA3wpgo-EKaABwAHgAgAGEAYgB9QOSAQMzLjKYAQCgAQGqAQtnd3Mtd2l6LWltZ8ABAQ&sclient=img&ei=e5HYX4TlK5Cga5mEprgJ&bih=662&biw=1408&client=firefox-b-d#imgrc=6gJ4I2WpZqqQIM ,0:02-0:10,Vehicle,AM General,Humvee,https://drive.google.com/file/d/1wqeF62FQt3RYodXxFZMeFd90_aoD6s2E/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesca,LB022,No,https://twitter.com/LaraJBitar/status/1301137644257239042?s=20,02-09-2020,15:39: ,excessive tear gas and rubber bullets fired at protesters,Verified,Mitch,TRUE,01-09-2020,,Yes,33.8979332,35.505545, Agence France-presse video,0:14,Launcher,SAE Alsetex,Cougar 56mm,https://drive.google.com/file/d/1u8mu_v5CA9cxOjew1X9D1VezEdGOSml3/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
